N_candidat	S1	S2	S3	S4	S5	Logique	BDD	PS	Moyenne	Eligible	Decision
0	12.6975	5.552	10.2587	11.4687	14.7828	8.8294	9.4861	6.6236	10.70994	False	R
1	12.7541	8.8763	9.7158	10.7522	13.0602	13.6618	9.9581	9.1057	10.82444	False	R
2	13.0767	9.9848	13.0219	12.0127	16.5487	12.0578	10.6973	10.5232	13.130799999999999	False	R
3	12.1845	7.0888	11.7462	9.797	13.064	9.1133	8.7637	9.2942	11.165939999999999	False	R
4	11.6004	9.5007	10.4854	9.1817	13.0674	9.5936	9.3448	11.1991	11.02786	False	R
5	10.6413	9.1734	8.9542	10.7217	13.9526	7.841	9.6915	9.7349	10.33514	False	R
6	13.5947	9.5855	7.9134	10.8992	15.8112	10.7413	9.1587	8.8754	10.96364	False	R
7	12.2469	12.0942	11.3282	9.5875	10.0607	11.0757	9.7475	7.7739	11.41164	False	R
8	12.7075	8.5411	9.7951	10.7543	11.4183	8.518	9.102	7.9824	10.45142	False	R
9	12.2719	9.4975	8.7983	11.7336	13.815	10.9634	7.7379	11.2769	10.636199999999999	False	R
10	13.2224	12.7555	10.118	9.7368	12.6032	11.728	9.5665	9.1595	11.76342	False	R
11	13.6144	10.7188	13.2794	11.9385	10.9249	12.5557	10.9849	9.7674	12.36338	False	R
12	12.3173	8.8488	9.9524	11.6485	13.1286	9.2875	9.0309	9.8502	10.8399	False	R
13	13.4505	7.5651	10.3499	11.3263	12.1711	5.4175	9.272	7.5768	10.7773	False	R
14	12.065	9.6845	10.8628	12.1202	16.3122	8.8859	11.6386	10.1826	11.957460000000001	False	R
15	14.9604	9.2203	12.9647	10.1012	13.1726	14.4891	10.4109	5.8025	12.656540000000001	False	R
16	13.7888	9.7813	11.2583	11.0754	14.3407	5.8032	10.2666	12.7341	12.08548	False	R
17	10.127	8.9042	11.1918	10.9385	15.4656	5.2529	11.0953	10.6057	11.37608	False	R
18	10.1685	10.6034	11.8752	9.9872	10.5009	8.1672	7.7795	9.4984	11.00464	False	R
19	12.0473	8.8739	9.9873	11.3502	13.3569	11.615	8.812	8.9788	10.850539999999999	False	R
20	14.048	10.5141	9.5739	10.0781	15.9164	6.0906	9.9659	6.5645	11.92526	False	R
21	10.8373	9.976	11.5688	12.5161	17.3524	15.6843	9.372	8.6694	12.260660000000001	False	R
22	12.7029	9.6023	11.5302	11.5661	16.4001	8.2901	6.4216	8.4559	12.35314	False	R
23	14.6952	9.6851	13.5937	11.6725	12.2192	12.0321	12.1909	6.9906	12.757380000000001	False	R
24	14.1784	8.6554	12.0728	10.9027	17.3714	8.3402	8.9831	11.7104	12.870159999999998	False	R
25	14.0097	11.4209	10.2465	9.1526	14.3556	11.8753	8.7876	9.2628	12.05584	False	R
26	12.9714	12.0906	11.427	10.8831	11.3093	9.1752	11.2984	5.534	11.84506	False	R
27	10.5861	8.2836	11.5425	11.6104	16.7787	12.7799	7.7449	8.239	11.746680000000001	False	R
28	11.8501	8.2956	11.0724	11.0929	14.4056	6.6366	12.393	8.6673	11.33922	False	R
29	9.8181	9.3883	10.8103	12.2857	11.0458	9.036	11.8426	10.9543	10.374559999999999	False	R
30	10.9433	10.0528	11.3177	11.9912	13.5243	11.9992	8.1633	10.724	11.43116	False	R
31	14.2884	7.5476	10.829	9.4896	13.494	8.298	8.6705	8.8385	11.3976	False	R
32	12.103	5.396	13.513	10.0958	17.3875	3.6353	9.5498	11.6901	12.382499999999999	False	R
33	13.1041	6.9186	11.033	12.7031	15.7861	10.7382	9.1084	7.636	11.57496	False	R
34	11.4481	7.9883	9.8869	10.4654	14.3794	8.4683	8.4122	7.8565	10.717920000000001	False	R
35	11.2957	12.0118	12.7439	12.2385	14.3844	12.6148	9.9386	10.3544	12.63594	False	R
